word	proficiency	pos
aabits	B1	s
aade	C1	s
aadlik	B2	s
aadress	A1	s
aare	B2	s
aas	B2	s
aasta	A1	s
aastaaeg	B1	s
aastakäik	B2	s
aastakümme	B2	s
aastane	A2	adj
aastapäev	A2	s
aastaringselt	B2	adv
aastasada	B2	s
aastatuhat	B2	s
aastavahetus	B1	s
aatom	B2	s
abi	A1	s
abielluma	A2	v
abielu	A2	s
abielupaar	B1	s
abielus	A2	adv
abikaasa	A1	s
abikõlblik	B2	adj
abil	A2	postp
abiline	B2	s
abinõu	B1	s
abipalve	B2	s
abipolitseinik	B2	s
abistama	B1	v
abitu	B2	adj
abiturient	B2	s
abitus	B2	s
abivahend	B2	s
abivajaja	B2	s
abivalmis	B1	adj
abort	B2	s
absoluutne	B2	adj
absoluutselt	B2	adv
abstraktne	B2	adj
absurd	B2	s
absurdne	B2	adj
adekvaatne	B2	adj
administraator	B1	s
administratiivne	B2	adj
administratsioon	B2	s
admiral	B2	s
adrenaliin	B2	s
adressaat	B2	s
adresseerima	B2	v
aduma	C1	v
advent	B2	s
advokaat	B1	s
aed	A1	s
aednik	B1	s
aedvili	B1	s
aeg	A1	s
aeg-ajalt	A2	adv
aeganõudev	B2	adj
aeglane	A1	adj
aeglaselt	B1	adv
aeglustama	B2	v
aeglustuma	B2	v
aegsasti	C1	adv
aegu	C1	postp
aeguma	B2	v
aegumatu	C1	adj
aeroobika	B1	s
aevastama	B1	v
afäär	B2	s
aga	A1	konj,adv
agar	C1	adj
agaralt	C1	adv
agentuur	B2	s
agressiivne	B1	adj
agressiivselt	B2	adv
agressiivsus	B2	s
agressioon	B2	s
ahastama	C1	v
ahastus	C1	s
ahel	B2	s
ahi	B1	s
ahistama	B2	v
ahistus	C1	s
ahjukartulid	A2	s
ahjuküte	B1	s
ahmima	C1	v
ahne	B2	adj
ahnus	B2	s
ahvatlema	B2	v
ahven	B1	s
ahvima	B2	v
aiandus	B2	s
aimama	C1	v
aina	B2	adv
aine	A2	s
aineline	B2	adj
aines	C1	s
ainestik	B2	s
ainsus	B1	s
ainuke	B1	adj,s
ainukene	B1	adj,s
ainulaadne	B2	adj
ainult	A1	adv
ainus	B1	adj,s
ainuvõimalik	B2	adj
ainuõige	B2	adj
ainuõigus	C1	s
ainuüksi	B2	adv
ait	B2	s
aitama	A1	v
aitäh	A1	interj
ajajärk	B2	s
ajakiri	A2	s
ajakirjandus	A2	s
ajakirjanik	A2	s
ajakohane	B2	adj
ajakohastama	B2	v
ajaleht	A2	s
ajaline	B2	adj
ajaliselt	B2	adv
ajaloolane	B1	s
ajalooline	B1	adj
ajalugu	A2	s
ajama	B1	v
ajapikku	C1	adv
ajastama	B2	v
ajastu	B2	s
ajateenija	B2	s
ajateenistus	B2	s
ajatu	C1	adj
ajavahemik	B1	s
ajaviide	B2	s
ajel	C1	postp
ajend	C1	s
ajendama	C1	v
aju	B1	s
ajupesu	B2	s
ajurünnak	B2	s
ajutine	B1	adj
ajutiselt	B1	adv
ajuvaba	C1	adj
akadeemia	B2	s
akadeemik	B2	s
akadeemiline	B2	adj
aken	A1	s
aknalaud	B1	s
akordion	B1	s
akrediteerima	C1	v
aksessuaar	B2	s
akt	B2	s
aktiivne	A2	adj
aktiivselt	B1	adv
aktiivsus	B1	s
aktiveerima	B2	v
aktivist	B2	s
aktsent	B2	s
aktsepteerima	B2	v
aktseptima	B2	v
aktsia	B1	s
aktsiaselts	B1	s
aktsiis	B2	s
aktsionär	B2	s
aktsioon	B2	s
aktuaalne	B2	adj
aktus	B1	s
aku	B1	s
akulaadija	B1	s
akustiline	B2	adj
akvaarium	B1	s
ala	A2	s
alaealine	B1	s,adj
alahindama	B2	v
alaline	B1	adj
alaliselt	B2	adv
alam	B2	adj,s
alandama	B1	v
alandlik	C1	adj
alandlikkus	C1	s
alandus	C1	s
alanema	B2	v
alarm	B1	s
alasti	B1	adj,adv
alatasa	C1	adv
alateadlik	B2	adj
alateadlikult	B2	adv
alateadvus	B2	s
alates	A2	postp,prep
alati	A1	adv
alatine	B2	adj
alatu	B2	adj
album	A2	s
aldis	C1	adj
alev	B2	s
alevik	B2	s
algaja	B1	s,adj
algama	A1	v
algatama	B1	v
algatus	B1	s
algklass	B1	s
algkool	B1	s
algne	B2	adj
algoritm	B2	s
algselt	B1	adv
algul	B1	adv,postp
algupärane	B2	adj
algus	A1	s
alimendid	B2	s
alistama	B2	v
alistuma	B2	v
alkohol	A2	s
alkoholism	B2	s
alkohoolik	B1	s
all	A1	adv,postp,prep
alla	A1	adv,postp,prep
allahindlus	B1	s
allakirjutanu	B2	s
allakäik	B2	s
allapoole	B1	adv,prep
allee	B2	s
allergia	B1	s
allergiline	B2	adj
alles	B1	adv
allianss	B2	s
allikas	B1	s
allilm	B2	s
alljärgnev	B2	adj,s
allkiri	A2	s
allkirjastama	B2	v
allpool	B1	adv,prep
alluma	B1	v
allutama	B2	v
alluv	B1	s
alluvus	B2	s
allveelaev	B1	s
alpaka	B2	s
alt	A1	adv,postp
altar	B2	s
alternatiiv	B1	s
alternatiivne	B2	adj
althõlma	C1	adv
altkäemaks	B2	s
altpoolt	B1	adv,prep
alumine	A2	adj
alusetu	B2	adj
aluspesu	B1	s
aluspüksid	A2	s
alussärk	B1	s
alustama	A1	v
alustass	B1	s
alustus	B2	s
amatöör	B2	s
ambitsioon	B2	s
ambitsioonikas	B2	adj
ambulatoorne	B2	adj
ameeriklane	A2	s
amet	A2	s
ametijuhend	B2	s
ametikoht	B1	s
ametiühing	B2	s
ametlik	B1	adj
ametlikult	B1	adv
ametnik	B1	s
amfetamiin	B2	s
ammendama	B2	v
ammenduma	B2	v
ammu	A2	adv
ammune	B2	adj
ammutama	B2	v
analoogne	B2	adj
analüüsima	B1	v
analüütik	B2	s
analüütiline	B2	adj
ananass	A2	s
anarhia	B2	s
anatoomia	B2	s
and	C1	s
andekas	B1	adj
andekus	B2	s
andestama	B1	v
andestus	B2	s
andma	A1	v
andmebaas	B2	s
andmed	A2	s
anduma	C1	v
andur	B2	s
anekdoot	B1	s
angerjas	B1	s
angiin	B1	s
animatsioon	B2	s
ankeet	B1	s
ankur	B2	s
anne	B2	s
annetaja	B2	s
annetama	B2	v
annetus	B2	s
annus	B1	s
anonüümne	B2	adj
anonüümsus	B2	s
ansambel	A2	s
antenn	B1	s
antibiootikum	B1	s
antikeha	B2	s
antiloop	B2	s
antonüüm	B2	s
