word	freq_rank	proficiency	pos
ma	2	A1	pron
ei	3	A1	adv,interj
sa	4	A1	pron
see	5	A1	pron
et	6	A1	konj
ja	7	A1	konj
ta	8	A1	pron
kui	9	A1	konj,adv
seda	10		prop
kas	11	A1	adv
me	12	A1	pron
mis	13	A1	pron
pole	15		vrm
jah	16	A1	adv
aga	17	A1	konj,adv
oma	18	A1	pron,s,adj
siis	19	A1	adv
nii	20	A1	adv
ära	22	A1	adv
siin	26	A1	adv
kõik	27	A1	pron
nad	28	A1	pron
midagi	30		adv
te	32	A1	pron
mulle	34		s
kes	36	A1	pron
nüüd	38	A1	adv
kuidas	40	A1	adv
ole	41		prop
ka	42	A1	adv
mitte	43	A1	adv
välja	44	A1	adv
tema	45	A1	pron
nagu	46	A1	konj,adv
mina	47	A1	pron
miks	49	A1	adv
veel	51	A1	adv
või	52	A1	konj,adv
meie	53	A1	pron
tagasi	54	A1	adv,postp
hea	56	A1	adj,s
küll	57	A1	adv
sina	58	A1	pron
väga	59	A1	adv
seal	62	A1	adv
teie	63	A1	pron
lihtsalt	64	A1	adv
üks	65	A1	num,s
need	66		pron
kus	67	A1	adv
oleks	68		s
palju	69	A1	adv
tead	72		s
siia	73	A1	adv
kuid	74	A1	konj
hästi	75	A1	adv,interj
pärast	76	A1	postp,prep,adv
palun	77		interj
eest	79	A1	postp,adv
meil	82	A2	s
tere	83	A1	interj
juba	85	A1	adv
olgu	87		interj
keegi	88	A2	pron
isa	89	A1	s
ainult	90	A1	adv
peale	91	A1	adv,postp,prep
neid	94	B2	s
ju	96	A1	adv
kunagi	98	A2	adv
sest	99	A1	konj
just	100	A1	adv
tänan	101	A1	interj
ema	103	A1	s
mees	104	A1	s
tee	106	A1	s
minema	109	A1	v
asi	110	A1	s
üle	111	A1	adv,prep,postp
maha	112	A2	adv
läbi	113	A1	adv,prep,postp
vaja	114	A1	adv
enam	116	A2	adv
oh	117		interj
tõesti	120	A2	adv
vaid	122	A2	adv,konj
kohe	123	A1	adv
koos	125	A1	adv,postp,prep
taha	128	A2	adv,postp
enne	129	A1	adv,prep
vastu	131	A1	adv,prep,postp
hei	132		interj
olema	133	A1	v
aru	136		s
täna	137	A1	adv
jumal	139	A2	s
saan	140		s
anna	141		s
üles	142	A1	adv
kaks	145	A1	num,s
korras	147	A2	adj,adv
sisse	148	A1	adv,postp
isegi	150	B1	adv
ise	153	A1	pron
elu	154	A1	s
end	155		
kogu	156	A1	pron
ikka	157	A1	adv
kinni	158	A1	adv
vabandust	159	A1	interj
muidugi	161	A1	adv
jaoks	162	A1	postp
pea	163	A1	s
valmis	164	A1	adj,adv
eks	167	A2	adv
rohkem	168	A1	adv
alati	169	A1	adv
saad	172		s
saada	173		vrm
ning	175	A1	konj
i	176		s
raha	177	A1	s
lase	178		s
siit	180	A1	adv
kohta	181	A2	postp
praegu	182	A1	adv
liiga	183	A1	adv
oota	186		vrm
alla	188	A1	adv,postp,prep
kurat	189	B1	s
