LEMMA	POS	SAGEDUS	TASE
C-vitamiin	S	8229	B1
CD	Y		A2
DVD	Y		A2
ID-kaart	S	22355	A1
PIN-kood	S	2661	A1
SMS	Y		A1
T-särk	S	7032	A1
WC	S		A1
aabits	S	4117	B1
aadress	S	150832	A1
aas	S	12397	B1
aasta	S	5006831	A1
aastaaeg	S	18028	B1
aastakümme	S	52325	B1
aastalõpp	S	3375	B1
aastane	A	115666	A2
aastapäev	S	48879	A2
aastavahetus	S	18256	B1
abi	S	378505	A1
abielluma	V	41604	A2
abiellumine	S	9119	B1
abielu	S	87123	A2
abielupaar	S	7908	B1
abielus	D		A2
abikaasa	S	114306	A2
abil	K	214084	A2
abinõu	S	17436	B1
absoluutselt	D	46273	B1
administraator	S	11999	B1
aed	S	108057	A1
aednik	S	6945	B1
aedvili	S	5232	B1
aeg	S	2632164	A1
aeg-ajalt	D	60675	A2
aeglane	A	30113	A1
aeglaselt	D	30928	B1
aeroobika	S	3064	B1
aga	J	5094772	A1
ah	D	16281	A2
ahi	S	61183	A2
ahjuküte	S	1085	B1
ahv	S	14415	A2
aiatöö	S	2583	B1
aim	S	37210	B1
aine	S	142767	A2
ainsus	S	2388	B1
ainuke	A	87783	B1
ainukene	A	4444	B1
ainult	D	1127684	A1
ainus	A	188191	B1
aitama	V	686918	A1
aitäh	I	142473	A1
ajakiri	S	98494	A2
ajakirjandus	S	92904	A2
ajakirjanik	S	124423	A2
ajaleheartikkel	S	1839	B1
ajaleht	S	130769	A2
ajaloolane	S	23685	B1
ajalooline	A	81296	B1
ajalugu	S	237771	A2
ajama	V	302966	A2
ajastu	S	48525	B1
ajavahemik	S	35420	B1
aju	S	75550	B1
ajutine	A	60951	B1
ajutiselt	D	24355	B1
aken	S	139805	A1
aknalaud	S	7263	B1
aktiivne	A	116446	A2
aktiivselt	D	50012	B1
aktiivsus	S	33962	B1
aktsia	S	122273	B1
aktsiaselts	S	23239	B1
aktus	S	7856	B1
aku	S	56040	B1
ala	S	277609	A2
alaealine	A	33583	B1
alaealine	S		B1
alaline	A	21996	B1
alandama	V	26630	B1
alarm	S	3303	B1
alates	K	300914	A2
alati	D	554893	A1
album	S	46447	A2
algama	V	450082	A1
algatama	V	84446	B1
algatus	S	49273	B1
algharidus	S	1870	A2
algklass	S	9883	B1
algkool	S	12830	A2
algselt	D	58397	B1
algul	D	68482	B1
algul	K	54834	B1
algus	S	587246	A1
alkohol	S	111759	A2
alkoholivaba	A	2898	B1
all	D	44390	A1
all	K	473918	A1
alla	D	343246	A1
alla	K	377052	A1
alla andma	V		B1
alla hindama	V		B1
alla kirjutama	V		A2
alla laadima	V		B1
allahindlus	S	11110	B1
allapoole	D	18577	B1
allapoole	K	5307	B1
alles	D	426677	B1
alles hoidma	V		B1
alles jätma	V		B1
alles jääma	V		B1
allikas	S	124622	B1
allkiri	S	47245	A2
allpool	D	22256	B1
allpool	K	6334	B1
alluma	V	27518	B1
alluv	S	13752	B1
alt	D	30594	A2
alt	K	96363	A2
alternatiiv	S	41086	A2
altpoolt	D	3962	B1
altpoolt	K	953	B1
alumine	A	45325	A2
alus	S	37140	B1
aluspesu	S	3714	B1
aluspüksid	S	2984	B1
alussärk	S	306	B1
alustama	V	448333	A1
alustass	S	437	B1
ameeriklane	S	57190	A2
amet	S	210017	A2
ametikoht	S	55707	A2
ametlik	A	112876	B1
ametlikult	D	47338	B1
ametnik	S	124953	A2
ammu	D	117020	A2
analüüs	S	120085	A2
analüüsima	V	73993	A2
ananass	S	3614	A1
andekas	A	27689	B1
andeks andma	V		B1
andeks paluma	V		B1
andestama	V	13009	B1
andma	V	2264906	A1
andmed	S	405145	A2
anekdoot	S	7874	B1
angiin	S	1369	B1
ankeet	S	12878	B1
anne	S	18028	B1
annus	S	17613	B1
ansambel	S	53986	A2
antenn	S	15923	B1
apelsin	S	10025	A1
apelsinimahl	S	2456	A2
aprikoos	S	2786	B1
aprill	S	253106	A1
apteek	S	33526	B1
apteeker	S	7675	B1
araabia	G	10892	B1
arbuus	S	5260	A1
arendama	V	122803	B1
arenema	V	128203	B1
areng	S	289681	A2
arg	A	10783	B1
argument	S	44837	A2
arhiiv	S	32616	A2
arhitekt	S	43577	A2
armas	A	76911	A2
armastama	V	162938	A1
armastus	S	161027	A1
armee	S	45342	A2
armuke	S	13614	B1
armuma	V	20632	B1
aroom	S	11099	B1
arst	S	296414	A1
artikkel	S	436496	A2
aru andma	V		B1
aru saama	V		A1
aruanne	S	77789	A2
arukas	A	16539	B1
arukus	S	3025	B1
arusaam	S	65818	B1
arusaamatu	A	35053	B1
arutama	V	198580	A2
arutamine	S	24376	B1
arutelu	S	195062	A2
arutlema	V	53617	B1
arutlus	S	22918	B1
arv	S	339370	A1
arvama	V	1029193	A1
arvamus	S	253924	A2
arvatavasti	D	60834	B1
arve	S	191453	A2
arvesse võtma	V		B1
arvestama	V	398803	B1
arvestus	S	62858	B1
arvutama	V	49563	B1
arvuti	S	193386	A2
arvutimäng	S	7525	B1
asemel	K	237776	B1
asemele	K	32918	B1
asendama	V	89353	B1
aset leidma	V		B1
asetama	V	68758	B1
asetäitja	S	28414	B1
asi	S	1619395	A1
asjalik	A	37000	B1
asjaolu	S	145095	B1
asjatundja	S	34516	B1
aste	S	49439	B1
astuma	V	258978	A1
asukoht	S	134892	A2
asuma	V	509164	A1
asutama	V	75828	B1
asutus	S	128762	A2
au	S	67002	B1
august	S	201461	A1
auhind	S	96267	B1
auk	S	119766	A2
aula	S	8635	B1
aus	A	77749	A2
ausalt	D	64989	A2
ausammas	S	7772	B1
austama	V	97722	B1
austatud	A		B1
austerlane	S	5095	B1
austus	S	21131	B1
auto	S	694768	A1
autobussijaam	S	321	A2
autojuhiluba	S	1697	A2
autojuht	S	43485	A2
automaat	S	18331	A2
automaatne	A	19288	B1
automaatselt	D	47388	B1
automehaanik	S	325	B1
autopesula	S	1100	B1
autor	S	270759	A2
autoteenindus	S	960	B1
avaldama	V	332530	B1
avalduma	V	24370	B1
avaldus	S	139725	A2
avalik	A	282321	A2
avalikkus	S	80641	B1
avalikult	D	43591	B1
avalikustama	V	43337	B1
avama	V	420353	A2
avanema	V	71048	B1
avar	A	19621	B1
avarii	S	22575	A2
avastama	V	187089	B1
baar	S	30600	A2
baarmen	S	2712	B1
ballett	S	7756	B1
balti	G	77206	A1
banaan	S	16254	A1
beež	A	1550	A2
belglane	S	4792	B1
bensiin	S	26193	A1
bensiinijaam	S	6331	A2
bikiinid	S	2968	B1
bilanss	S	12149	B1
bioloogia	S	11087	B1
blankett	S	4659	B1
blond	A	11014	B1
borš	S	706	A2
botas	S	1054	B1
broiler	S	2433	B1
broneerima	V	18927	B1
bronhiit	S	2472	B1
brünett	A	2429	B1
bulgaarlane	S	2406	B1
buss	S	146968	A1
bussijaam	S	12370	A2
bussijuht	S	20112	A2
bussipeatus	S	13642	B1
bussipilet	S	3748	B1
bänd	S	63078	A2
büroo	S	41377	A2
daam	S	27102	A2
deklaratsioon	S	26148	B1
deklareerima	V	19727	B1
delegatsioon	S	32548	A2
demokraatia	S	54242	A2
demokraatlik	A	46982	A2
detail	S	63173	A2
detektiiv	S	2890	B1
detsember	S	233659	A1
dialoog	S	31681	A2
digitaalallkiri	S	2504	B1
diivan	S	25091	A1
diplom	S	16280	B1
diplomaat	S	19555	A2
diplomaatiline	A	16099	A2
direktor	S	116942	A1
dirigent	S	20418	B1
disainer	S	21888	B1
distants	S	36235	A2
doktor	S	26857	A2
dokument	S	196941	A2
dollar	S	144888	A1
draama	S	14082	A2
dressid	S		A2
dressipluus	S	1067	B1
dressipüksid	S	1265	B1
dušš	S	12614	A1
e-kursus	S	4225	A2
e-pood	S	14098	A1
e-post	S	46946	A2
e-teenus	S	6618	A2
e-õpe	S	7699	A2
ebaaus	A	6973	B1
ebameeldiv	A	40025	A2
ebamugav	A	21876	B1
ebaoluline	A	5874	B1
ebaseaduslik	A	32204	B1
ebatervislik	A	4349	B1
ebaviisakas	A	4849	B1
ebaõnnestuma	V	23676	B1
ebaühtlane	A	6437	B1
edasi	D	677973	A1
edasi andma	V		B1
edasi jõudma	V		B1
edasi lükkama	V		B1
edasi-tagasi	D	14267	B1
edasine	A	72862	B1
edaspidi	D	132947	B1
edastama	V	78564	B1
edel	S	8974	B1
edenema	V	16974	B1
edu	S	131808	A2
edukalt	D	71644	B1
edukas	A	101346	B1
eel	K	47108	B1
eelarve	S	184418	B1
eeldama	V	116450	B1
eeldus	S	75709	A2
eelis	S	57740	A2
eelistama	V	112705	B1
eelistus	S	24823	A2
eelkõige	D	216470	B1
eelmine	A	518411	A1
eelnev	A	82194	B1
eelnevalt	D	75968	B1
eemal	D	49127	A2
eemaldama	V	81108	B1
eemale	D	62140	B1
ees	D	107168	A1
ees	K	321509	A1
eeskiri	S	36809	B1
eeskuju	S	74387	B1
eeskujulik	A	8068	B1
eeskätt	D	40712	B1
eesmärk	S	617457	A2
eesnimi	S	7696	A1
eesotsas	K		B1
eespool	D	33649	B1
eest	D	14805	A1
eest	K	1315246	A1
eesti	G	428484	A1
eestikeelne	A	59478	A2
eestlane	S	340591	A1
eestlanna	S	9890	B1
eestpoolt	D	1119	B1
efekt	S	33312	A2
efektiivne	A	31887	B1
ega	D	146848	A2
ega	J	728660	A2
ehe	S	24602	B1
ehitaja	S	33586	A2
ehitama	V	285190	A1
ehitis	S	51650	B1
ehitus	S	103699	A2
ehitustöö	S	21108	B1
ehk	D	451042	A2
ehk	J	577786	A2
ehkki	J	98926	B1
ehmatama	V	17819	B1
ei	D	157603	A1
eile	D	331294	A1
eilne	A	70141	B1
eitama	V	28180	B1
ekraan	S	83553	A2
eks	D	284049	A2
eksam	S	49628	B1
eksima	V	69015	B1
eksisteerima	V	48336	B1
eksitus	S	8111	B1
ekspert	S	73060	A2
elama	V	710471	A1
elamisluba	S	18202	A2
elamu	S	35028	A2
elanik	S	215522	A2
elanikkond	S	51234	B1
elekter	S	90877	A2
elektrijaam	S	21428	A2
elektrik	S	4849	B1
elektriküte	S	1747	B1
elektriline	A	13009	A2
elektripliit	S	1974	B1
elektrirong	S	2584	B1
elektrooniline	A	50932	B1
elevant	S	12906	B1
ellu viima	V		B1
elu	S	1044403	A1
eluaasta	S	40469	A2
elukaaslane	S	27692	B1
elukoht	S	39439	A2
